id,isbn,title,author,published_year,is_banned,library
"9900478538573","978-0-09-075873-9","Individual study page","Kristen Hanson","1913","False","Central library"
"6646899713856","978-1-79111-396-4","Bit of station woman","Stephanie Jackson","1900","False","Central library"
"7658788405864","978-1-929132-20-1","College southern lawyer","Alisha Taylor","1940","False","Central library"
"9431442874583","978-0-428-66422-0","Respond they create","George Kramer","1981","False","Central library"
"7762468959520","978-0-474-82381-7","Fine act war","Nathan Diaz","2008","False","Central library"
"9453763013687","978-0-942506-17-4","Recent service lead","Justin Carter","1977","False","Central library"
"3206708484556","978-0-474-21626-8","Early partner PM total","Eric Jones","2010","False","Central library"
"5532060782909","978-1-4447-3674-8","One such believe","Kenneth Hughes","2014","False","Central library"
"2064939388422","978-0-8004-0947-0","Still mention sell","Amy Ward","1917","False","Central library"
"1898639894058","978-0-17-233928-3","Whose election baby Mr","Stephen Jackson","1916","False","Central library"
"4023193500016","978-1-56000-854-5","Yes those team then","Tracy Flowers","1942","False","Central library"
"2892085035422","978-0-01-228493-3","Friend fish eight","Heather Martinez","1959","False","Central library"
"1727872716530","978-1-72287-051-5","So finally according","Elizabeth Martin","1996","False","Central library"
"0644189973788","978-0-684-98987-7","Enjoy himself next","Kayla Gonzalez","1927","False","Central library"
"7960661266593","978-0-14-983132-1","Church answer property","Eddie Bentley","1927","False","Central library"
"2898692501152","978-0-476-16074-3","One without agreement","Amanda Wright","1906","False","Central library"
"3232767845182","978-0-7568-1617-9","Win benefit need though","John Cobb","1907","False","Central library"
"5472190115751","978-0-621-82147-5","Plant turn size big","Holly Burch","1947","False","Central library"
"4505183384771","978-1-4890-6555-1","Address service young","Laurie Miller","1952","False","Central library"
"9105899304138","978-1-67470-288-9","Scene measure song","Laura Lee","2016","False","Central library"
"1298549554019","978-1-230-31321-4","Rise close media carry","Shannon Moore","1939","False","Central library"
"5272789921950","978-1-58634-255-5","Build personal machine","Richard Cordova","1935","False","Central library"
"9958425076388","978-1-341-81192-0","Only fine positive","Melanie Foster","2008","False","Central library"
"5165347660623","978-0-456-99308-8","Wish kid president","Matthew Jefferson","1948","False","Central library"
"4922928897752","978-0-564-54532-2","Far detail go song","Leslie Hayes","1908","False","Central library"
"0564492265083","978-0-351-56578-6","Seem on step person","Rachel Nelson","2004","False","Central library"
"5803512160669","978-1-5288-2141-4","Near manage exactly","Marissa Humphrey","1939","False","Central library"
"1180979147841","978-0-9728866-5-9","Look still guess fish","Lacey King","1998","False","Central library"
"0542415422270","978-1-5474-4908-8","Set hope like finally","Nicole Davis MD","1942","False","Central library"
"7233541073193","978-1-899355-51-8","Green age leader","Charles Brown","1994","False","Central library"
"8383798917623","978-0-7180-9908-4","Sort act vote season","Ashley Hernandez","1925","False","Central library"
"7859304611121","978-1-57049-417-8","Good rest seat work","Dana Salazar","1908","False","Central library"
"3389927346642","978-0-930879-16-7","Wait contain it course","Samantha Thomas","1939","False","Central library"
"2770284163361","978-1-299-99946-6","Hair site wish art","Larry Miller","2002","False","Central library"
"9835724525420","978-1-4445-2673-8","Effect friend little","Debra Meyer","1980","False","Central library"
"1436786892178","978-1-965301-01-2","Few federal effort hard","Barbara Clark","1950","False","Central library"
"2797452193890","978-0-562-66536-7","Sit might way","Melissa Dennis","1981","False","Central library"
"8366469826677","978-0-03-246934-1","Box case notice nature","Nathan Bond","1974","False","Central library"
"5887183992682","978-0-00-797621-8","Green since accept care","Jeffrey Butler","1933","False","Central library"
